Location,Title,Company,Url
"Monterrey, Nuevo León, Mexico",Data Scientist Sr,Chubb,https://mx.linkedin.com/jobs/view/data-scientist-sr-at-chubb-3825425799?position=8&pageNum=1&refId=CmtjRow7%2B89kz8WQ0F3mmQ%3D%3D&trackingId=kRu7Ro%2FmrV4C%2BiTbqXUG9g%3D%3D&trk=public_jobs_jserp-result_search-card
"San Nicolás de Los Garza, Nuevo León, Mexico",Senior Machine Learning Engineer,Ternium,https://mx.linkedin.com/jobs/view/senior-machine-learning-engineer-at-ternium-3995103877?position=9&pageNum=1&refId=CmtjRow7%2B89kz8WQ0F3mmQ%3D%3D&trackingId=HkOgj9NOGG7SnFl9EC7yxA%3D%3D&trk=public_jobs_jserp-result_search-card
"Centro de San Pedro Garza García, Nuevo León, Mexico",Jr. Software Engineer (DataOps),Spectrum Effect,https://mx.linkedin.com/jobs/view/jr-software-engineer-dataops-at-spectrum-effect-3988890257?position=10&pageNum=1&refId=CmtjRow7%2B89kz8WQ0F3mmQ%3D%3D&trackingId=33tUXnD1xvxhkcXt7SCpGg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Python API Developer,Accenture México,https://mx.linkedin.com/jobs/view/python-api-developer-at-accenture-m%C3%A9xico-3975119192?position=1&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=TXngZA2ZhNEs5PpqgEnHrw%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Python Developer,Accenture México,https://mx.linkedin.com/jobs/view/python-developer-at-accenture-m%C3%A9xico-3957756612?position=2&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=0yPRUhND6UTYYLoAWVrmMQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Sr Machine Learning Engineer,Arca Continental,https://mx.linkedin.com/jobs/view/sr-machine-learning-engineer-at-arca-continental-3997541097?position=3&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=n6NdFcNhlLaLAYoq%2F7BIJg%3D%3D&trk=public_jobs_jserp-result_search-card
"San Pedro Garza García, Nuevo León, Mexico",Python Developer,SAP,https://mx.linkedin.com/jobs/view/python-developer-at-sap-3961737432?position=4&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=vu6IVl4CsluwL%2BnwjMhXHA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",ML Ops Engineer,Chubb,https://mx.linkedin.com/jobs/view/ml-ops-engineer-at-chubb-3987318831?position=5&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=2y2f%2Fcj8vzRZlBerQTipLA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Python API Developer,Accenture México,https://mx.linkedin.com/jobs/view/python-api-developer-at-accenture-m%C3%A9xico-3977671637?position=6&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=%2B1cD%2FtIJ583rr4xdX1no7A%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Ingeniero de Analítica de Datos,Grupo Industrial Saltillo,https://mx.linkedin.com/jobs/view/ingeniero-de-anal%C3%ADtica-de-datos-at-grupo-industrial-saltillo-3992768484?position=7&pageNum=2&refId=9KTjnORtomC%2FckoBb2xdgw%3D%3D&trackingId=xeAlp7kubOR%2BlzqfbPTYkw%3D%3D&trk=public_jobs_jserp-result_search-card
